lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
4.5e-06,4.5e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,1572.011962890625,18254.638671875,16682.626953125,0.2546401023864746,0.0,-0.00011187801283085719,0.0,0.0,-0.5200517177581787,-0.5162056684494019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99,1480.427490234375,16305.330078125,14824.90234375,0.2263907790184021,0.0,-0.0002336277102585882,0.0,0.0,-0.4981715977191925,-0.49993401765823364,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,149,1325.5146484375,14563.576171875,13238.0615234375,0.20228031277656555,0.0,-0.00035542031400837004,0.0,0.0,-0.49383655190467834,-0.4950571060180664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,199,1360.983642578125,13335.9345703125,11974.951171875,0.1831122636795044,0.0,-0.0004762400931213051,0.0,0.0,-0.5188568830490112,-0.5230191349983215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,249,1429.518798828125,13011.720703125,11582.2021484375,0.1772211641073227,0.0,-0.0005965293967165053,0.0,0.0,-0.5350958108901978,-0.529127299785614,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,299,1403.5867919921875,12952.14453125,11548.5576171875,0.17680630087852478,0.0,-0.0007159369997680187,0.0,0.0,-0.504074215888977,-0.5048711895942688,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,349,1453.68896484375,12287.298828125,10833.609375,0.1660040020942688,0.0,-0.000834883248899132,0.0,0.0,-0.5024579763412476,-0.5085618495941162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,399,1516.156982421875,11933.3671875,10417.2099609375,0.15975527465343475,0.0,-0.0009536959114484489,0.0,0.0,-0.4910321831703186,-0.49623820185661316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,407,,,,,,,,,,,0,1424.8345947265625,15288.3427734375,13863.5126953125,0.21193893253803253,0.0,-0.0004867826646659523,0.0,0.0,-0.5091577768325806,-0.5084407329559326,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,449,1478.046142578125,11894.951171875,10416.9052734375,0.15985015034675598,0.0,-0.0010723021114245057,0.0,0.0,-0.5086753964424133,-0.5147575736045837,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,499,1438.07568359375,11392.5546875,9954.478515625,0.1529017984867096,0.0,-0.001190684619359672,0.0,0.0,-0.4950248897075653,-0.4938848316669464,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,549,1453.096923828125,11125.697265625,9672.6005859375,0.14870621263980865,0.0,-0.0013087968109175563,0.0,0.0,-0.5129135847091675,-0.5134563446044922,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,599,1634.4266357421875,11317.1611328125,9682.734375,0.14896073937416077,0.0,-0.0014266105135902762,0.0,0.0,-0.5212754011154175,-0.5225815176963806,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,649,1667.043212890625,11054.6533203125,9387.6103515625,0.1445644497871399,0.0,-0.0015443199081346393,0.0,0.0,-0.5133875608444214,-0.5126825571060181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,699,1617.265869140625,11184.033203125,9566.767578125,0.14739418029785156,0.0,-0.0016620730748400092,0.0,0.0,-0.5134512186050415,-0.5155070424079895,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,749,1540.189697265625,10603.9111328125,9063.7216796875,0.13983166217803955,0.0,-0.0017792399739846587,0.0,0.0,-0.5028916001319885,-0.4919908344745636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,799,1619.5496826171875,10444.7646484375,8825.21484375,0.13629987835884094,0.0,-0.0018965306226164103,0.0,0.0,-0.5161038041114807,-0.5106754899024963,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,815,,,,,,,,,,,1,1539.5831298828125,11119.6669921875,9580.080078125,0.14742402732372284,0.0,-0.001456776401028037,0.0,0.0,-0.5092399716377258,-0.507672131061554,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,849,1647.2479248046875,10302.421875,8655.173828125,0.1338115632534027,0.0,-0.002013853518292308,0.0,0.0,-0.5291941165924072,-0.5236322283744812,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,899,1686.6939697265625,10314.5732421875,8627.87890625,0.13349738717079163,0.0,-0.0021311917807906866,0.0,0.0,-0.5165544152259827,-0.5127495527267456,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,949,1672.322021484375,10161.0029296875,8488.6806640625,0.13147951662540436,0.0,-0.002248485339805484,0.0,0.0,-0.511931300163269,-0.506504476070404,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,1631.592041015625,10207.705078125,8576.11328125,0.13291175663471222,0.0,-0.0023654073011130095,0.0,0.0,-0.498037189245224,-0.4968695044517517,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1049,1653.7628173828125,9848.2197265625,8194.45703125,0.12720361351966858,0.0,-0.0024822638370096684,0.0,0.0,-0.5293129086494446,-0.5246442556381226,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1099,1619.7088623046875,9715.2841796875,8095.5751953125,0.12580035626888275,0.0,-0.002599072176963091,0.0,0.0,-0.4865354895591736,-0.48443523049354553,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1149,1710.0020751953125,9672.849609375,7962.84716796875,0.1238824874162674,0.0,-0.0027160055469721556,0.0,0.0,-0.5131511092185974,-0.5126277804374695,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1199,1646.71435546875,9582.90625,7936.1923828125,0.1235789805650711,0.0,-0.0028328823391348124,0.0,0.0,-0.5050033330917358,-0.4998392164707184,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1223,,,,,,,,,,,2,1648.970458984375,9952.0283203125,8303.0576171875,0.12879866361618042,0.0,-0.0024142726324498653,0.0,0.0,-0.5086381435394287,-0.5061039924621582,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1249,1710.2779541015625,9117.0380859375,7406.759765625,0.1156262531876564,0.0,-0.0029496289789676666,0.0,0.0,-0.4999333918094635,-0.49848607182502747,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1299,1717.314453125,9779.263671875,8061.94921875,0.12569603323936462,0.0,-0.0030664775986224413,0.0,0.0,-0.49023914337158203,-0.48446664214134216,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
