lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch
4.5e-06,4.5e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,1087.19189453125,20401.4140625,19314.22265625,0.2947903275489807,0.0,-0.0001115882841986604,0.0,0.0,-0.49598464369773865,-0.49393144249916077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99,931.0867919921875,18196.849609375,17265.763671875,0.263624906539917,0.0,-0.0002311917342012748,0.0,0.0,-0.519522488117218,-0.5203830599784851,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,149,880.597412109375,17168.546875,16287.94921875,0.2487977147102356,0.0,-0.00035055435728281736,0.0,0.0,-0.4966691732406616,-0.4816076159477234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,199,971.4288330078125,16483.009765625,15511.580078125,0.23704588413238525,0.0,-0.0004691895446740091,0.0,0.0,-0.5170485973358154,-0.5198478102684021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,249,1040.822021484375,16027.021484375,14986.19921875,0.22912392020225525,0.0,-0.0005872709443792701,0.0,0.0,-0.514943540096283,-0.5095065236091614,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,299,1011.3751220703125,15372.34765625,14360.97265625,0.21968123316764832,0.0,-0.0007051398861221969,0.0,0.0,-0.5094709992408752,-0.5090701580047607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,349,1016.7611083984375,14798.3681640625,13781.607421875,0.21093973517417908,0.0,-0.0008226997451856732,0.0,0.0,-0.4987063407897949,-0.4922109842300415,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,399,1073.437255859375,15327.904296875,14254.466796875,0.2182406336069107,0.0,-0.0009399657137691975,0.0,0.0,-0.511729896068573,-0.5144339799880981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,449,1118.558349609375,15120.7119140625,14002.1533203125,0.21448615193367004,0.0,-0.0010570671875029802,0.0,0.0,-0.5100781321525574,-0.5067653656005859,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,499,1071.3165283203125,14902.2568359375,13830.9404296875,0.2119685411453247,0.0,-0.0011741628404706717,0.0,0.0,-0.506722092628479,-0.49860021471977234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,549,1098.82861328125,14660.337890625,13561.5087890625,0.20795464515686035,0.0,-0.0012910810764878988,0.0,0.0,-0.5136439204216003,-0.5195071697235107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,599,1082.0322265625,14617.6943359375,13535.662109375,0.20765328407287598,0.0,-0.0014080596156418324,0.0,0.0,-0.49793803691864014,-0.4935053288936615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,649,1103.73779296875,13724.1875,12620.4501953125,0.19380204379558563,0.0,-0.0015250083524733782,0.0,0.0,-0.510262131690979,-0.5104226469993591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,699,1164.111083984375,13720.416015625,12556.3046875,0.19291888177394867,0.0,-0.0016418653540313244,0.0,0.0,-0.5091912150382996,-0.5125058889389038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,749,1183.691650390625,14040.2666015625,12856.5751953125,0.19758668541908264,0.0,-0.0017587231704965234,0.0,0.0,-0.5103206634521484,-0.5075213313102722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,799,1213.026611328125,14546.7041015625,13333.677734375,0.2049466371536255,0.0,-0.0018756418721750379,0.0,0.0,-0.5102482438087463,-0.5111419558525085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
