lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
4.5e-06,4.5e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,310.8979187011719,33285.2734375,32974.375,0.5032035112380981,0.0,-0.00010968663264065981,0.0,0.0,-0.10498046875,-0.1142578125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99,240.7249755859375,31981.236328125,31740.51171875,0.4844387173652649,0.0,-0.00022692499624099582,0.0,0.0,-0.1015625,-0.1123046875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,149,270.8746337890625,32304.728515625,32033.853515625,0.4889756143093109,0.0,-0.00034792788210324943,0.0,0.0,-0.1064453125,-0.107421875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,199,222.94630432128906,31491.798828125,31268.8515625,0.477370023727417,0.0,-0.00046926396316848695,0.0,0.0,-0.1064453125,-0.09521484375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,249,271.1399230957031,30038.912109375,29767.771484375,0.4545438885688782,0.0,-0.0005936565576121211,0.0,0.0,-0.10595703125,-0.0908203125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,299,336.5315246582031,28089.0625,27752.53125,0.4238841235637665,0.0,-0.0007189862662926316,0.0,0.0,-0.10400390625,-0.0966796875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,349,311.41064453125,27830.75,27519.33984375,0.42040112614631653,0.0,-0.0008444366976618767,0.0,0.0,-0.107421875,-0.09326171875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,399,326.7773132324219,27220.640625,26893.86328125,0.4109387993812561,0.0,-0.0009696493507362902,0.0,0.0,-0.10791015625,-0.09130859375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,407,,,,,,,,,,,0,334.96209716796875,30931.5078125,30596.55078125,0.4671415388584137,0.0,-0.0004863834474235773,0.0,0.0,-0.1064668521285057,-0.10183297097682953,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
