epoch,lr-Adam,lr-Adam-1,step,train/kl_loss_epoch,train/kl_loss_step,train/logits/fake_epoch,train/logits/fake_step,train/logits/real_epoch,train/logits/real_step,train/loss/disc_epoch,train/loss/disc_step,train/loss/g_epoch,train/loss/g_step,train/loss/nll_epoch,train/loss/nll_step,train/loss/rec_epoch,train/loss/rec_step,train/loss/total_epoch,train/loss/total_step,train/scalars/d_weight_epoch,train/scalars/d_weight_step,train/scalars/logvar_epoch,train/scalars/logvar_step,val/kl_loss,val/logits/fake,val/logits/real,val/loss/disc,val/loss/g,val/loss/nll,val/loss/rec,val/loss/total,val/metrics/psnr,val/metrics/ssim,val/scalars/d_weight,val/scalars/logvar,val_ema/kl_loss,val_ema/logits/fake,val_ema/logits/real,val_ema/loss/disc,val_ema/loss/g,val_ema/loss/nll,val_ema/loss/rec,val_ema/loss/total,val_ema/metrics/psnr,val_ema/metrics/ssim,val_ema/scalars/d_weight,val_ema/scalars/logvar
,4.5e-06,4.5e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,49,,2464.0,,-0.1142578125,,-0.038818359375,,0.0,,0.0,,9920.0,,0.60546875,,12416.0,,0.0,,-0.00010967254638671875,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,99,,2160.0,,-0.1044921875,,-0.02001953125,,0.0,,0.0,,9472.0,,0.578125,,11648.0,,0.0,,-0.0002288818359375,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,149,,2000.0,,-0.11279296875,,-0.034423828125,,0.0,,0.0,,9344.0,,0.5703125,,11328.0,,0.0,,-0.00032806396484375,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,199,,1904.0,,-0.1005859375,,-0.0228271484375,,0.0,,0.0,,8448.0,,0.515625,,10368.0,,0.0,,-0.0004596710205078125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,249,,1760.0,,-0.10693359375,,-0.044189453125,,0.0,,0.0,,8384.0,,0.51171875,,10112.0,,0.0,,-0.0005645751953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,299,,1632.0,,-0.10302734375,,-0.03564453125,,0.0,,0.0,,8064.0,,0.4921875,,9728.0,,0.0,,-0.000659942626953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,349,,1544.0,,-0.09033203125,,-0.047607421875,,0.0,,0.0,,8320.0,,0.5078125,,9856.0,,0.0,,-0.00075531005859375,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,399,,1496.0,,-0.08349609375,,-0.0211181640625,,0.0,,0.0,,7872.0,,0.48046875,,9344.0,,0.0,,-0.000850677490234375,,,,,,,,,,,,,,,,,,,,,,,,
0,,,407,1967.13720703125,,-0.0996907576918602,,-0.03495190292596817,,0.0,,0.0,,8919.6865234375,,0.5445389151573181,,10886.587890625,,0.0,,-0.0004515807086136192,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,449,,1384.0,,-0.07666015625,,-0.0311279296875,,0.0,,0.0,,7328.0,,0.447265625,,8704.0,,0.0,,-0.000946044921875,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,499,,1304.0,,-0.0634765625,,-0.042236328125,,0.0,,0.0,,7264.0,,0.443359375,,8576.0,,0.0,,-0.00110626220703125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,549,,1216.0,,-0.060302734375,,-0.020263671875,,0.0,,0.0,,7360.0,,0.451171875,,8576.0,,0.0,,-0.0012969970703125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,599,,1144.0,,-0.04150390625,,-0.0303955078125,,0.0,,0.0,,7072.0,,0.43359375,,8192.0,,0.0,,-0.00148773193359375,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,649,,1096.0,,-0.048583984375,,-0.0306396484375,,0.0,,0.0,,6880.0,,0.421875,,7968.0,,0.0,,-0.001678466796875,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,699,,1024.0,,-0.052490234375,,-0.03662109375,,0.0,,0.0,,6912.0,,0.423828125,,7936.0,,0.0,,-0.00186920166015625,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,749,,948.0,,-0.0255126953125,,-0.0302734375,,0.0,,0.0,,6624.0,,0.40625,,7584.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,799,,940.0,,-0.019287109375,,-0.0152587890625,,0.0,,0.0,,6656.0,,0.408203125,,7584.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
1,,,815,1140.3922119140625,,-0.05641204118728638,,-0.03482713922858238,,0.0,,0.0,,6968.94140625,,0.4265567660331726,,8108.7060546875,,0.0,,-0.0015027289045974612,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,849,,896.0,,-0.015869140625,,-0.0224609375,,0.0,,0.0,,6496.0,,0.3984375,,7392.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,899,,832.0,,-0.028564453125,,-0.047119140625,,0.0,,0.0,,6240.0,,0.380859375,,7072.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,949,,808.0,,-0.007110595703125,,-0.009521484375,,0.0,,0.0,,6336.0,,0.388671875,,7136.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,999,,784.0,,-0.0247802734375,,-0.03466796875,,0.0,,0.0,,6528.0,,0.3984375,,7296.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1049,,756.0,,-0.0133056640625,,-0.034423828125,,0.0,,0.0,,6240.0,,0.3828125,,7008.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1099,,752.0,,-0.0159912109375,,-0.039306640625,,0.0,,0.0,,6400.0,,0.392578125,,7168.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1149,,732.0,,-0.01031494140625,,-0.03955078125,,0.0,,0.0,,6656.0,,0.408203125,,7392.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1199,,712.0,,0.0001697540283203125,,-0.035888671875,,0.0,,0.0,,6208.0,,0.380859375,,6912.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1223,788.3921508789062,,-0.015975942835211754,,-0.03429592400789261,,0.0,,0.0,,6429.33349609375,,0.3941291272640228,,7218.0390625,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1249,,696.0,,-0.0006561279296875,,-0.031494140625,,0.0,,0.0,,6304.0,,0.38671875,,7008.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1299,,692.0,,-0.000194549560546875,,-0.0341796875,,0.0,,0.0,,6336.0,,0.388671875,,7040.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1349,,680.0,,-0.006561279296875,,-0.022216796875,,0.0,,0.0,,6496.0,,0.3984375,,7168.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1399,,648.0,,-0.0159912109375,,-0.041259765625,,0.0,,0.0,,6336.0,,0.388671875,,6976.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1449,,660.0,,0.00537109375,,-0.0341796875,,0.0,,0.0,,6080.0,,0.373046875,,6752.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1499,,644.0,,0.005279541015625,,-0.016845703125,,0.0,,0.0,,6272.0,,0.384765625,,6912.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
