lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
4.5e-06,4.5e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,360.93701171875,5157.98193359375,4797.044921875,0.2928673028945923,0.0,-0.00011155309766763821,0.0,0.0,-0.49222272634506226,-0.5037773847579956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99,325.47918701171875,4204.37548828125,3878.896484375,0.23692652583122253,0.0,-0.0002325879322597757,0.0,0.0,-0.48989081382751465,-0.4920703172683716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,149,410.0401611328125,3892.47900390625,3482.43896484375,0.2128308266401291,0.0,-0.0003552187990862876,0.0,0.0,-0.49422937631607056,-0.4876452386379242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,199,410.6375732421875,3679.87646484375,3269.23876953125,0.1999204456806183,0.0,-0.00047741105663590133,0.0,0.0,-0.48760026693344116,-0.4789905548095703,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,249,443.16265869140625,3503.78759765625,3060.625,0.18729239702224731,0.0,-0.0005988581688143313,0.0,0.0,-0.4881449341773987,-0.48626086115837097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,299,450.2811279296875,3331.14453125,2880.863525390625,0.17642676830291748,0.0,-0.0007198470993898809,0.0,0.0,-0.49347802996635437,-0.4877903461456299,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,349,485.85125732421875,3367.982666015625,2882.13134765625,0.1766032576560974,0.0,-0.0008403835818171501,0.0,0.0,-0.46738114953041077,-0.48267024755477905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,399,489.60845947265625,3258.702392578125,2769.093994140625,0.16980929672718048,0.0,-0.0009603711660020053,0.0,0.0,-0.48058030009269714,-0.4853321611881256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,407,,,,,,,,,,,0,431.635498046875,4176.12060546875,3744.484375,0.22893883287906647,0.0,-0.000488729914650321,0.0,0.0,-0.48981544375419617,-0.4910237193107605,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
