epoch,global_step,loss,lr-AdamW,lr_abs,step
,,,2.4549755000000003e-08,,49
,,,2.4549755000000003e-08,,49
,,,2.4549755000000003e-08,,49
,,,2.4549755000000003e-08,,49
0,49.0,0.0269775390625,,2.4549754229497012e-08,49
,,,4.954950500000001e-08,,99
,,,4.954950500000001e-08,,99
,,,4.954950500000001e-08,,99
,,,4.954950500000001e-08,,99
0,99.0,0.3828125,,4.954950583169193e-08,99
,,,7.4549255e-08,,149
,,,7.4549255e-08,,149
,,,7.4549255e-08,,149
,,,7.4549255e-08,,149
0,149.0,0.5,,7.454925565753001e-08,149
,,,9.954900500000002e-08,,199
,,,9.954900500000002e-08,,199
,,,9.954900500000002e-08,,199
,,,9.954900500000002e-08,,199
0,199.0,0.37109375,,9.954900548336809e-08,199
,,,1.2454875500000002e-07,,249
,,,1.2454875500000002e-07,,249
,,,1.2454875500000002e-07,,249
,,,1.2454875500000002e-07,,249
0,249.0,0.5,,1.2454874820377881e-07,249
,,,1.4954850500000002e-07,,299
,,,1.4954850500000002e-07,,299
,,,1.4954850500000002e-07,,299
,,,1.4954850500000002e-07,,299
0,299.0,0.03125,,1.495484980296169e-07,299
,,,1.7454825500000006e-07,,349
,,,1.7454825500000006e-07,,349
,,,1.7454825500000006e-07,,349
,,,1.7454825500000006e-07,,349
0,349.0,0.4453125,,1.745482620663097e-07,349
,,,1.9954800500000003e-07,,399
,,,1.9954800500000003e-07,,399
,,,1.9954800500000003e-07,,399
,,,1.9954800500000003e-07,,399
0,399.0,0.384765625,,1.9954801189214777e-07,399
,,,2.2454775500000004e-07,,449
,,,2.2454775500000004e-07,,449
,,,2.2454775500000004e-07,,449
,,,2.2454775500000004e-07,,449
1,449.0,0.19140625,,2.2454776171798585e-07,449
,,,2.49547505e-07,,499
,,,2.49547505e-07,,499
,,,2.49547505e-07,,499
,,,2.49547505e-07,,499
1,499.0,0.060302734375,,2.495474973329692e-07,499
,,,2.7454725500000003e-07,,549
,,,2.7454725500000003e-07,,549
,,,2.7454725500000003e-07,,549
,,,2.7454725500000003e-07,,549
1,549.0,0.2392578125,,2.74547261369662e-07,549
,,,2.9954700500000005e-07,,599
,,,2.9954700500000005e-07,,599
,,,2.9954700500000005e-07,,599
,,,2.9954700500000005e-07,,599
1,599.0,0.1650390625,,2.995469969846454e-07,599
,,,3.2454675500000007e-07,,649
,,,3.2454675500000007e-07,,649
,,,3.2454675500000007e-07,,649
,,,3.2454675500000007e-07,,649
1,649.0,0.06591796875,,3.2454676102133817e-07,649
,,,3.49546505e-07,,699
,,,3.49546505e-07,,699
,,,3.49546505e-07,,699
,,,3.49546505e-07,,699
1,699.0,0.00811767578125,,3.4954649663632154e-07,699
