epoch,global_step,loss,lr-AdamW,lr_abs,step
,,,4.909951000000001e-07,,49
0,49.0,0.26171875,,4.909950916953676e-07,49
,,,9.909901e-07,,99
0,99.0,0.25,,9.909900882121292e-07,99
,,,1.4909851000000002e-06,,149
0,149.0,0.255859375,,1.4909851415723097e-06,149
,,,1.9909801000000003e-06,,199
0,199.0,0.25390625,,1.9909800812456524e-06,199
,,,2.4909751000000003e-06,,249
1,249.0,0.2421875,,2.490975020918995e-06,249
,,,2.9909701e-06,,299
1,299.0,0.2373046875,,2.9909701879660133e-06,299
,,,3.490965100000001e-06,,349
1,349.0,0.20703125,,3.490965127639356e-06,349
,,,3.9909601e-06,,399
1,399.0,0.193359375,,3.990960067312699e-06,399
,,,4.490955100000001e-06,,449
2,449.0,0.173828125,,4.490955234359717e-06,449
,,,4.990950100000001e-06,,499
2,499.0,0.16015625,,4.990949946659384e-06,499
,,,5.490945100000001e-06,,549
2,549.0,0.1533203125,,5.4909451137064025e-06,549
,,,5.990940100000001e-06,,599
2,599.0,0.140625,,5.990940280753421e-06,599
,,,6.490935100000001e-06,,649
3,649.0,0.13671875,,6.490934993053088e-06,649
,,,6.9909301e-06,,699
3,699.0,0.1298828125,,6.990930160100106e-06,699
,,,7.4909251e-06,,749
3,749.0,0.12890625,,7.490925327147124e-06,749
,,,7.9909201e-06,,799
3,799.0,0.12060546875,,7.990920494194143e-06,799
,,,8.490915100000001e-06,,849
4,849.0,0.115234375,,8.49091520649381e-06,849
,,,8.990910100000001e-06,,899
4,899.0,0.10986328125,,8.990909918793477e-06,899
,,,9.4909051e-06,,949
4,949.0,0.099609375,,9.490905540587846e-06,949
,,,9.9909001e-06,,999
4,999.0,0.10107421875,,9.990900252887513e-06,999
,,,1.0490895100000001e-05,,1049
5,1049.0,0.1044921875,,1.049089496518718e-05,1049
,,,1.0990890100000001e-05,,1099
5,1099.0,0.109375,,1.0990889677486848e-05,1099
,,,1.14908851e-05,,1149
5,1149.0,0.09814453125,,1.1490885299281217e-05,1149
,,,1.1990880100000001e-05,,1199
