epoch,global_step,loss,lr-AdamW,lr_abs,step
,,,2.4507550000000002e-05,,49
0,49.0,0.232421875,,2.450754982419312e-05,49
,,,4.950505000000001e-05,,99
0,99.0,0.11328125,,4.950505172018893e-05,99
,,,7.450255000000001e-05,,149
0,149.0,0.08740234375,,7.450255361618474e-05,149
,,,9.950005000000001e-05,,199
0,199.0,0.08740234375,,9.950005187420174e-05,199
,,,0.0001,,249
1,249.0,0.08984375,,9.999999747378752e-05,249
,,,0.0001,,299
1,299.0,0.265625,,9.999999747378752e-05,299
,,,0.0001,,349
1,349.0,0.248046875,,9.999999747378752e-05,349
,,,0.0001,,399
1,399.0,0.25390625,,9.999999747378752e-05,399
,,,0.0001,,449
2,449.0,0.251953125,,9.999999747378752e-05,449
,,,0.0001,,499
2,499.0,0.2578125,,9.999999747378752e-05,499
,,,0.0001,,549
2,549.0,0.263671875,,9.999999747378752e-05,549
,,,0.0001,,599
2,599.0,0.255859375,,9.999999747378752e-05,599
,,,0.0001,,649
3,649.0,0.255859375,,9.999999747378752e-05,649
,,,0.0001,,699
3,699.0,0.255859375,,9.999999747378752e-05,699
,,,0.0001,,749
3,749.0,0.259765625,,9.999999747378752e-05,749
,,,0.0001,,799
3,799.0,0.255859375,,9.999999747378752e-05,799
