epoch,global_step,loss,lr-AdamW,lr_abs,step
,,,4.909951000000001e-07,,49
0,49.0,0.2470703125,,4.909950916953676e-07,49
,,,9.909901e-07,,99
0,99.0,0.234375,,9.909900882121292e-07,99
,,,1.4909851000000002e-06,,149
0,149.0,0.25390625,,1.4909851415723097e-06,149
,,,1.9909801000000003e-06,,199
0,199.0,0.251953125,,1.9909800812456524e-06,199
,,,2.4909751000000003e-06,,249
0,249.0,0.2421875,,2.490975020918995e-06,249
,,,2.9909701e-06,,299
1,299.0,0.232421875,,2.9909701879660133e-06,299
,,,3.490965100000001e-06,,349
1,349.0,0.21484375,,3.490965127639356e-06,349
,,,3.9909601e-06,,399
1,399.0,0.2001953125,,3.990960067312699e-06,399
,,,4.490955100000001e-06,,449
1,449.0,0.171875,,4.490955234359717e-06,449
,,,4.990950100000001e-06,,499
1,499.0,0.1552734375,,4.990949946659384e-06,499
,,,5.490945100000001e-06,,549
2,549.0,0.150390625,,5.4909451137064025e-06,549
,,,5.990940100000001e-06,,599
2,599.0,0.1318359375,,5.990940280753421e-06,599
,,,6.490935100000001e-06,,649
2,649.0,0.1416015625,,6.490934993053088e-06,649
,,,6.9909301e-06,,699
2,699.0,0.1337890625,,6.990930160100106e-06,699
,,,7.4909251e-06,,749
2,749.0,0.1279296875,,7.490925327147124e-06,749
,,,7.9909201e-06,,799
2,799.0,0.12353515625,,7.990920494194143e-06,799
,,,8.490915100000001e-06,,849
3,849.0,0.11572265625,,8.49091520649381e-06,849
,,,8.990910100000001e-06,,899
3,899.0,0.11083984375,,8.990909918793477e-06,899
,,,9.4909051e-06,,949
3,949.0,0.10498046875,,9.490905540587846e-06,949
,,,9.9909001e-06,,999
3,999.0,0.1083984375,,9.990900252887513e-06,999
,,,1.0490895100000001e-05,,1049
3,1049.0,0.1181640625,,1.049089496518718e-05,1049
,,,1.0990890100000001e-05,,1099
4,1099.0,0.10791015625,,1.0990889677486848e-05,1099
,,,1.14908851e-05,,1149
4,1149.0,0.0986328125,,1.1490885299281217e-05,1149
,,,1.1990880100000001e-05,,1199
4,1199.0,0.1005859375,,1.1990880011580884e-05,1199
,,,1.2490875100000001e-05,,1249
4,1249.0,0.091796875,,1.2490874723880552e-05,1249
,,,1.2990870100000002e-05,,1299
4,1299.0,0.0986328125,,1.299087034567492e-05,1299
,,,1.3490865100000002e-05,,1349
4,1349.0,0.09033203125,,1.3490865057974588e-05,1349
,,,1.3990860100000002e-05,,1399
5,1399.0,0.08837890625,,1.3990859770274255e-05,1399
,,,1.4490855100000002e-05,,1449
5,1449.0,0.09326171875,,1.4490855392068624e-05,1449
,,,1.4990850100000004e-05,,1499
5,1499.0,0.09130859375,,1.4990850104368292e-05,1499
