epoch,global_step,loss,lr-AdamW,step
,,,1e-05,49
0,49.0,0.2255859375,,49
,,,1e-05,99
0,99.0,0.546875,,99
,,,1e-05,149
0,149.0,0.416015625,,149
,,,1e-05,199
0,199.0,0.32421875,,199
,,,1e-05,249
1,249.0,0.2890625,,249
,,,1e-05,299
1,299.0,0.232421875,,299
,,,1e-05,349
1,349.0,0.390625,,349
,,,1e-05,399
1,399.0,0.3515625,,399
,,,1e-05,449
2,449.0,0.392578125,,449
,,,1e-05,499
2,499.0,0.416015625,,499
,,,1e-05,549
2,549.0,0.37109375,,549
,,,1e-05,599
2,599.0,0.267578125,,599
,,,1e-05,649
3,649.0,0.14453125,,649
,,,1e-05,699
3,699.0,0.294921875,,699
,,,1e-05,749
3,749.0,0.15234375,,749
,,,1e-05,799
3,799.0,0.291015625,,799
,,,1e-05,849
4,849.0,0.271484375,,849
,,,1e-05,899
4,899.0,0.4453125,,899
,,,1e-05,949
4,949.0,0.337890625,,949
,,,1e-05,999
4,999.0,0.330078125,,999
,,,1e-05,1049
5,1049.0,0.185546875,,1049
,,,1e-05,1099
5,1099.0,0.302734375,,1099
,,,1e-05,1149
5,1149.0,0.1669921875,,1149
,,,1e-05,1199
5,1199.0,0.34375,,1199
,,,1e-05,1249
6,1249.0,0.22265625,,1249
,,,1e-05,1299
6,1299.0,0.271484375,,1299
,,,1e-05,1349
6,1349.0,0.30078125,,1349
,,,1e-05,1399
6,1399.0,0.287109375,,1399
,,,1e-05,1449
7,1449.0,0.2080078125,,1449
,,,1e-05,1499
7,1499.0,0.357421875,,1499
,,,1e-05,1549
7,1549.0,0.1923828125,,1549
,,,1e-05,1599
7,1599.0,0.1640625,,1599
,,,1e-05,1649
8,1649.0,0.302734375,,1649
,,,1e-05,1699
8,1699.0,0.1591796875,,1699
,,,1e-05,1749
8,1749.0,0.3125,,1749
,,,1e-05,1799
8,1799.0,0.265625,,1799
,,,1e-05,1849
9,1849.0,0.298828125,,1849
,,,1e-05,1899
9,1899.0,0.150390625,,1899
,,,1e-05,1949
9,1949.0,0.1494140625,,1949
,,,1e-05,1999
9,1999.0,0.14453125,,1999
,,,1e-05,2049
10,2049.0,0.2578125,,2049
,,,1e-05,2099
10,2099.0,0.322265625,,2099
,,,1e-05,2149
10,2149.0,0.130859375,,2149
,,,1e-05,2199
10,2199.0,0.296875,,2199
,,,1e-05,2249
11,2249.0,0.2197265625,,2249
,,,1e-05,2299
11,2299.0,0.310546875,,2299
,,,1e-05,2349
11,2349.0,0.2373046875,,2349
,,,1e-05,2399
11,2399.0,0.310546875,,2399
,,,1e-05,2449
12,2449.0,0.1728515625,,2449
,,,1e-05,2499
12,2499.0,0.208984375,,2499
,,,1e-05,2549
12,2549.0,0.251953125,,2549
,,,1e-05,2599
12,2599.0,0.328125,,2599
,,,1e-05,2649
12,2649.0,0.2734375,,2649
,,,1e-05,2699
13,2699.0,0.205078125,,2699
,,,1e-05,2749
13,2749.0,0.29296875,,2749
,,,1e-05,2799
13,2799.0,0.197265625,,2799
,,,1e-05,2849
13,2849.0,0.30859375,,2849
,,,1e-05,2899
14,2899.0,0.26953125,,2899
