epoch,global_step,loss,lr-AdamW,lr_abs,step
,,,9.800099019999999e-10,,49
0,49.0,1.3828125,,9.800098510481803e-10,49
,,,1.980009802e-09,,99
0,99.0,2.734375,,1.9800097117439464e-09,99
,,,2.9800097019999997e-09,,149
0,149.0,2.65625,,2.9800097944843174e-09,149
,,,3.980009602e-09,,199
0,199.0,2.21875,,3.9800096551800834e-09,199
,,,4.980009502000001e-09,,249
1,249.0,1.96875,,4.9800092938312446e-09,249
,,,5.9800094020000004e-09,,299
1,299.0,1.9921875,,5.9800093765716156e-09,299
,,,6.980009302e-09,,349
1,349.0,2.765625,,6.9800094593119866e-09,349
,,,7.980009202000001e-09,,399
1,399.0,2.78125,,7.980009542052358e-09,399
,,,8.980009102e-09,,449
2,449.0,2.515625,,8.980008736614309e-09,449
,,,9.980009002e-09,,499
2,499.0,3.0,,9.98000881935468e-09,499
,,,1.0980008902e-08,,549
2,549.0,3.15625,,1.0980008902095051e-08,549
,,,1.1980008802e-08,,599
2,599.0,2.765625,,1.1980008984835422e-08,599
,,,1.2980008702000001e-08,,649
3,649.0,1.6640625,,1.2980009067575793e-08,649
,,,1.3980008602000001e-08,,699
3,699.0,2.71875,,1.3980008262137744e-08,699
,,,1.4980008502e-08,,749
3,749.0,1.5546875,,1.4980008344878115e-08,749
,,,1.5980008402e-08,,799
3,799.0,2.34375,,1.5980008427618486e-08,799
,,,1.6980008302000002e-08,,849
4,849.0,2.359375,,1.6980008510358857e-08,849
,,,1.7980008202e-08,,899
4,899.0,3.34375,,1.7980008593099228e-08,899
,,,1.8980008102e-08,,949
4,949.0,2.90625,,1.89800086758396e-08,949
,,,1.9980008002e-08,,999
4,999.0,2.359375,,1.998000875857997e-08,999
,,,2.0980007901999998e-08,,1049
5,1049.0,1.75,,2.0980007064963502e-08,1049
,,,2.1980007802000002e-08,,1099
5,1099.0,2.765625,,2.1980007147703873e-08,1099
,,,2.2980007702000002e-08,,1149
5,1149.0,1.484375,,2.2980007230444244e-08,1149
,,,2.3980007602e-08,,1199
5,1199.0,2.9375,,2.3980007313184615e-08,1199
,,,2.4980007502e-08,,1249
6,1249.0,1.890625,,2.4980007395924986e-08,1249
,,,2.5980007401999998e-08,,1299
6,1299.0,2.546875,,2.5980007478665357e-08,1299
,,,2.6980007302000002e-08,,1349
