epoch,global_step,loss,lr-AdamW,step
,,,1e-05,49
,,,1e-05,49
0,49.0,0.223710298538208,,49
,,,1e-05,99
,,,1e-05,99
0,99.0,0.1824907511472702,,99
,,,1e-05,149
,,,1e-05,149
0,149.0,0.15008102357387543,,149
,,,1e-05,199
,,,1e-05,199
0,199.0,0.1286659836769104,,199
,,,1e-05,249
,,,1e-05,249
0,249.0,0.10594647377729416,,249
,,,1e-05,299
,,,1e-05,299
0,299.0,0.10222779214382172,,299
,,,1e-05,349
,,,1e-05,349
0,349.0,0.09669550508260727,,349
,,,1e-05,399
,,,1e-05,399
0,399.0,0.0974058136343956,,399
,,,1e-05,449
,,,1e-05,449
0,449.0,0.08916838467121124,,449
,,,1e-05,499
,,,1e-05,499
0,499.0,0.09026350826025009,,499
,,,1e-05,549
,,,1e-05,549
0,549.0,0.09005480259656906,,549
,,,1e-05,599
,,,1e-05,599
0,599.0,0.0910693034529686,,599
,,,1e-05,649
,,,1e-05,649
0,649.0,0.0755588561296463,,649
,,,1e-05,699
,,,1e-05,699
0,699.0,0.07027007639408112,,699
,,,1e-05,749
,,,1e-05,749
0,749.0,0.07046477496623993,,749
,,,1e-05,799
,,,1e-05,799
0,799.0,0.076024129986763,,799
,,,1e-05,849
,,,1e-05,849
0,849.0,0.07515186071395874,,849
,,,1e-05,899
,,,1e-05,899
0,899.0,0.07714194059371948,,899
,,,1e-05,949
,,,1e-05,949
0,949.0,0.0739186704158783,,949
,,,1e-05,999
,,,1e-05,999
0,999.0,0.07529180496931076,,999
,,,1e-05,1049
,,,1e-05,1049
0,1049.0,0.07331371307373047,,1049
,,,1e-05,1099
,,,1e-05,1099
0,1099.0,0.07675449550151825,,1099
,,,1e-05,1149
,,,1e-05,1149
0,1149.0,0.08468052744865417,,1149
,,,1e-05,1199
,,,1e-05,1199
0,1199.0,0.07128404080867767,,1199
,,,1e-05,1249
,,,1e-05,1249
0,1249.0,0.07466338574886322,,1249
,,,1e-05,1299
,,,1e-05,1299
0,1299.0,0.07692703604698181,,1299
,,,1e-05,1349
,,,1e-05,1349
0,1349.0,0.06878051161766052,,1349
,,,1e-05,1399
,,,1e-05,1399
0,1399.0,0.07484948635101318,,1399
,,,1e-05,1449
,,,1e-05,1449
0,1449.0,0.0715516060590744,,1449
,,,1e-05,1499
,,,1e-05,1499
