epoch,global_step,loss,lr-AdamW,step
,,,1e-05,49
,,,1e-05,49
0,49.0,0.22665779292583466,,49
,,,1e-05,99
,,,1e-05,99
0,99.0,0.18832531571388245,,99
,,,1e-05,149
,,,1e-05,149
0,149.0,0.1559455841779709,,149
,,,1e-05,199
,,,1e-05,199
0,199.0,0.13137772679328918,,199
,,,1e-05,249
,,,1e-05,249
0,249.0,0.10891535133123398,,249
,,,1e-05,299
,,,1e-05,299
0,299.0,0.1092895120382309,,299
,,,1e-05,349
,,,1e-05,349
0,349.0,0.10478490591049194,,349
,,,1e-05,399
,,,1e-05,399
0,399.0,0.11060462892055511,,399
,,,1e-05,449
,,,1e-05,449
0,449.0,0.1064576804637909,,449
,,,1e-05,499
,,,1e-05,499
0,499.0,0.10707712173461914,,499
,,,1e-05,549
,,,1e-05,549
0,549.0,0.10408781468868256,,549
,,,1e-05,599
,,,1e-05,599
0,599.0,0.10990475118160248,,599
,,,1e-05,649
,,,1e-05,649
0,649.0,0.09578054398298264,,649
,,,1e-05,699
,,,1e-05,699
0,699.0,0.09142224490642548,,699
,,,1e-05,749
,,,1e-05,749
0,749.0,0.09320400655269623,,749
,,,1e-05,799
,,,1e-05,799
0,799.0,0.09959395229816437,,799
,,,1e-05,849
,,,1e-05,849
0,849.0,0.09967662394046783,,849
,,,1e-05,899
,,,1e-05,899
0,899.0,0.09982073307037354,,899
,,,1e-05,949
,,,1e-05,949
0,949.0,0.09671392291784286,,949
,,,1e-05,999
,,,1e-05,999
0,999.0,0.09761874377727509,,999
,,,1e-05,1049
,,,1e-05,1049
0,1049.0,0.09786415100097656,,1049
,,,1e-05,1099
,,,1e-05,1099
0,1099.0,0.10048338025808334,,1099
,,,1e-05,1149
,,,1e-05,1149
0,1149.0,0.11100538820028305,,1149
,,,1e-05,1199
,,,1e-05,1199
0,1199.0,0.09442251175642014,,1199
,,,1e-05,1249
,,,1e-05,1249
0,1249.0,0.0970228835940361,,1249
,,,1e-05,1299
,,,1e-05,1299
0,1299.0,0.09977906197309494,,1299
,,,1e-05,1349
,,,1e-05,1349
0,1349.0,0.09107431769371033,,1349
,,,1e-05,1399
,,,1e-05,1399
0,1399.0,0.09776119887828827,,1399
,,,1e-05,1449
,,,1e-05,1449
0,1449.0,0.09692879021167755,,1449
,,,1e-05,1499
,,,1e-05,1499
