epoch,global_step,loss,lr-AdamW,step
,,,1e-05,49
,,,1e-05,49
0,49.0,0.2273477166891098,,49
,,,1e-05,99
,,,1e-05,99
0,99.0,0.16919156908988953,,99
,,,1e-05,149
,,,1e-05,149
0,149.0,0.16372311115264893,,149
,,,1e-05,199
,,,1e-05,199
0,199.0,0.1313038468360901,,199
,,,1e-05,249
,,,1e-05,249
0,249.0,0.10408951342105865,,249
,,,1e-05,299
,,,1e-05,299
0,299.0,0.09546633809804916,,299
,,,1e-05,349
,,,1e-05,349
0,349.0,0.09826664626598358,,349
,,,1e-05,399
,,,1e-05,399
0,399.0,0.10008709877729416,,399
,,,1e-05,449
,,,1e-05,449
0,449.0,0.10458316653966904,,449
,,,1e-05,499
,,,1e-05,499
0,499.0,0.09849876165390015,,499
,,,1e-05,549
,,,1e-05,549
0,549.0,0.0900619849562645,,549
,,,1e-05,599
,,,1e-05,599
0,599.0,0.10634374618530273,,599
,,,1e-05,649
,,,1e-05,649
0,649.0,0.09566225856542587,,649
,,,1e-05,699
,,,1e-05,699
0,699.0,0.09671971201896667,,699
,,,1e-05,749
,,,1e-05,749
0,749.0,0.09847377985715866,,749
,,,1e-05,799
,,,1e-05,799
0,799.0,0.10254186391830444,,799
,,,1e-05,849
,,,1e-05,849
0,849.0,0.0864894688129425,,849
,,,1e-05,899
,,,1e-05,899
0,899.0,0.1003509983420372,,899
,,,1e-05,949
,,,1e-05,949
0,949.0,0.09478797763586044,,949
,,,1e-05,999
,,,1e-05,999
0,999.0,0.09194894880056381,,999
,,,1e-05,1049
,,,1e-05,1049
0,1049.0,0.09389439225196838,,1049
,,,1e-05,1099
,,,1e-05,1099
0,1099.0,0.09366177022457123,,1099
,,,1e-05,1149
,,,1e-05,1149
0,1149.0,0.10183124244213104,,1149
,,,1e-05,1199
,,,1e-05,1199
0,1199.0,0.10126038640737534,,1199
,,,1e-05,1249
,,,1e-05,1249
0,1249.0,0.09282605350017548,,1249
,,,1e-05,1299
,,,1e-05,1299
0,1299.0,0.08640582859516144,,1299
,,,1e-05,1349
,,,1e-05,1349
0,1349.0,0.0897846519947052,,1349
,,,1e-05,1399
,,,1e-05,1399
0,1399.0,0.08831755816936493,,1399
,,,1e-05,1449
,,,1e-05,1449
0,1449.0,0.09177591651678085,,1449
,,,1e-05,1499
,,,1e-05,1499
