epoch,global_step,loss,lr-AdamW,step
,,,1e-05,49
0,49.0,0.2535693049430847,,49
,,,1e-05,99
0,99.0,0.22710905969142914,,99
,,,1e-05,149
0,149.0,0.22873453795909882,,149
,,,1e-05,199
0,199.0,0.23304963111877441,,199
,,,1e-05,249
0,249.0,0.23431740701198578,,249
,,,1e-05,299
0,299.0,0.20839504897594452,,299
,,,1e-05,349
0,349.0,0.2018294781446457,,349
,,,1e-05,399
0,399.0,0.2176789492368698,,399
,,,1e-05,449
0,449.0,0.20452676713466644,,449
,,,1e-05,499
0,499.0,0.21935638785362244,,499
,,,1e-05,549
0,549.0,0.19706007838249207,,549
,,,1e-05,599
0,599.0,0.2069738507270813,,599
,,,1e-05,649
0,649.0,0.1935938596725464,,649
,,,1e-05,699
0,699.0,0.20523369312286377,,699
,,,1e-05,749
0,749.0,0.20037370920181274,,749
,,,1e-05,799
0,799.0,0.19817708432674408,,799
,,,1e-05,849
0,849.0,0.2030472755432129,,849
,,,1e-05,899
0,899.0,0.19746993482112885,,899
,,,1e-05,949
0,949.0,0.1978309601545334,,949
,,,1e-05,999
0,999.0,0.19175516068935394,,999
,,,1e-05,1049
0,1049.0,0.20863592624664307,,1049
,,,1e-05,1099
0,1099.0,0.20365634560585022,,1099
,,,1e-05,1149
0,1149.0,0.1911950558423996,,1149
,,,1e-05,1199
0,1199.0,0.20990034937858582,,1199
,,,1e-05,1249
0,1249.0,0.19759242236614227,,1249
,,,1e-05,1299
0,1299.0,0.19973872601985931,,1299
,,,1e-05,1349
0,1349.0,0.20043408870697021,,1349
,,,1e-05,1399
0,1399.0,0.20421665906906128,,1399
,,,1e-05,1449
0,1449.0,0.19991914927959442,,1449
,,,1e-05,1499
0,1499.0,0.19511398673057556,,1499
,,,1e-05,1549
0,1549.0,0.2076699137687683,,1549
,,,1e-05,1599
0,1599.0,0.19894598424434662,,1599
,,,1e-05,1649
0,1649.0,0.20677833259105682,,1649
,,,1e-05,1699
0,1699.0,0.19206908345222473,,1699
,,,1e-05,1749
0,1749.0,0.2081446349620819,,1749
,,,1e-05,1799
0,1799.0,0.20769909024238586,,1799
,,,1e-05,1849
0,1849.0,0.20575687289237976,,1849
,,,1e-05,1899
0,1899.0,0.2070772498846054,,1899
,,,1e-05,1949
0,1949.0,0.21319147944450378,,1949
,,,1e-05,1999
0,1999.0,0.20375224947929382,,1999
,,,1e-05,2049
0,2049.0,0.19704443216323853,,2049
,,,1e-05,2099
0,2099.0,0.21068808436393738,,2099
,,,1e-05,2149
0,2149.0,0.2089747190475464,,2149
,,,1e-05,2199
0,2199.0,0.2058376967906952,,2199
,,,1e-05,2249
0,2249.0,0.19818729162216187,,2249
,,,1e-05,2299
0,2299.0,0.18785928189754486,,2299
,,,1e-05,2349
0,2349.0,0.20839044451713562,,2349
,,,1e-05,2399
0,2399.0,0.19084325432777405,,2399
,,,1e-05,2449
0,2449.0,0.192978173494339,,2449
,,,1e-05,2499
0,2499.0,0.19524908065795898,,2499
,,,1e-05,2549
